Name,Type,Building,Floor,Location Description,Latitude,Longitude,StartingTime,ClosingTime,ImageURL
Anna's x Soup Union,Food,Central Library,1,Next to NUS Co-op,1.296444,103.773032,0900hrs,1800hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/ANNA.jpeg
NUS Co-op,Shopping,Central Library,1,Inside the library on the right side,1.2967866,103.7732677,0900hrs,1600hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/NUS_COOP.jpeg
Printer @ Com 2,Printing,Com 2,1,Next to LT19,1.2938347,103.7744572,0000hrs,2359hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/PRINTER_COM2.jpeg
Cool Spot,Food,Com2,1,Opp LT16,1.2940156,103.7738478,0900hrs,2130hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/COOL_SPOT.jpeg
InstaChef,Food,Terrace,1,Next to foyer,1.2938898,103.7736305,0000hrs,2359hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/INSTACHEF.jpeg
Cafe+ Robot Cafe,Food/Coffee,Central Library,1,Opp to central library entrance,1.296444,103.773032,0000hrs,2359hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/ROBOT_CAFE.jpeg
A Hot Hideout,Food,Prince George's Park,2,Near PGP entrance,1.2908445,103.7770891,1100hrs,2130hrs,
Arise and Shine,Food,Engineering Block E4,4,Near LT6,1.2991517,103.769064,0800hrs,1800hrs,
Bakehaus / Aurea,Food,The Ridge,1,Near COM2,1.2946778,103.7707872,0800hrs,2100hrs,
Central Square @ YIH,Food,Yusof Ishak House,1,Closest to Opp UHC bus stop,1.2984401,103.7726256,0800hrs,2000hrs,
Pasta Express,Food,Frontier,1,Aircon section,1.2947819,103.7704435,0930hrs,1930hrs,
TOMORO COFFEE,Food/Coffee,Hon Sui Sen Memorial Library,2,Inside HSSML,1.2931259,103.7719943,0815hrs,1800hrs,
Octobox,Shopping,Prince George’s Park,2,Near PGP entrance,1.2904347,103.7787588,0000hrs,2359hrs,
Smooy,Food,COM3,1,The Terrace @ COM3,1.2948308,103.7716305,1100hrs,2100hrs,
Goh Bros E-Print Pte Ltd,Printing,Yusof Ishak House,5,Take the long staircase up YIH,1.2984905,103.7720544,0900hrs,1800hrs,
Cheers Unmanned Convenience Store,Shopping,Engineering Block E3,4,Take right from Arise n Shine,1.2994341,103.7526298,0000hrs,2359hrs,
Nami,Food,innovation4.0,1,Opp TCOMS,1.2942982,103.7708813,0800hrs,1730hrs,
Supersnacks,Food,Prince George’s Park,1,"At level 1 in Prince George's Park Residences, Block 10",1.2913847,103.7776367,1100hrs,0200hrs,
Good Day Cafe,Food/Coffee,Medicine+Science Library,1,Inside MedScience library ,1.2967989,103.7794336,0730hrs,1830hrs,
The Coffee Roaster,Food/Coffee,Blk AS8,1,Behind central library bus stop,1.296252229,103.7720926,0800hrs,1730hrs,
he by He Brews,Food/Coffee,Engineering Block EA,1,Near LT7 & Engineering Auditorium,1.300566804,103.7707577,0800hrs,1700hrs,
Fine Foods UTown,Food,Town Plaza,2,Next to Fine Foods canteen,1.3038,103.7743,0800hrs,2000hrs,
NUS Co-op@UTown,Shopping,Stephen Riady Centre,1,Near the multipurpose hall,1.3042,103.7735,0900hrs,1800hrs,
The Deck Beverage Stall,Food/Coffee,FASS Arts and Social Sciences,1,The Deck canteen drink stall,1.2966,103.7724,0730hrs,1700hrs,
ComCare Print Hub,Printing,COM1,2,Inside computing student lounge,1.2954,103.7738,0900hrs,1900hrs,
Frontier Canteen Western,Food,Science Drive 2,1,Frontier non-halal western stall,1.2975,103.7762,1000hrs,2030hrs,
Central Square Drink Stall,Food/Coffee,Central Library,1,Near the entrance turnaround,1.2962,103.7731,0800hrs,1900hrs,
BizCom Print & Stationary,Printing,Biz 2,2,Beside computing and business link bridge,1.2938,103.7745,0900hrs,1800hrs,
Techno Edge Asian Delight,Food,Techno Edge Canteen,1,Popular mixed rice and chicken rice stall,1.2989,103.777,0730hrs,2000hrs,
Cheers @ UTown,Shopping,Stephen Riady Centre,1,Convenience store next to fine foods,1.304,103.7734,0800hrs,2300hrs,
Eusoff Hall Canteen Drink Stall,Food/Coffee,Eusoff Hall,1,Residential hall canteen beverage stall,1.3021,103.7758,0730hrs,2100hrs,
Kent Ridge Guild House Cafe,Food/Coffee,Kent Ridge Guild House,2,Alumni club lounge and cafe,1.2995,103.7792,0900hrs,2130hrs,
Science Library Print Kiosk,Printing,Blk S6 Science,1,Self-service printing kiosk,1.2968,103.7801,0830hrs,2100hrs,
YIH Souvenir Shop,Shopping,Yusof Ishak House,2,NUS merchandise and stationery,1.298,103.773,1000hrs,1800hrs,
The Terrace Western Grill,Food,The Terrace Canteen,1,Western and grill food stall,1.297,103.7715,1100hrs,2000hrs,
Bizad Club Cafe,Food/Coffee,Business School Link,2,Student-run specialty coffee bar,1.2945,103.775,0830hrs,1830hrs,
